name,country,gender,home_venue
Black Ferns,New Zealand Women,Women,FMG Stadium Waikato
Canada Women,Canada Women,Women,TD Place Stadium
Girls in Green,Ireland,Women,Aviva Stadium
Le Azzurre,Italy,Women,Stadio Sergio Lanfranchi
Les Bleues,France,Women,Stade de France
Red Roses,England,Women,Twickenham Stadium
Sakura Fifteen,Japan Women,Women,Prince Chichibu Memorial Rugby Stadium
Scotland Women,Scotland,Women,Hive Stadium
Springbok Women,South Africa Women,Women,Athlone Stadium
Wales Women,Wales,Women,Cardiff Arms Park
Wallaroos,Australia Women,Women,Stadium Australia
Women's Eagles,USA Women,Women,Sports Illustrated Stadium
